,지역,상호,주소,상표
227,경기,서일산업(주)동백가스,경기 용인시 처인구 중부대로 997  ,GS칼텍스
228,경기,서일산업(주)용인충전소,경기 용인시 처인구 이동면 남북대로 2617  ,GS칼텍스
229,경기,서일산업(주)안성충전소,경기 안성시 양성면 양성로 529  ,S-OiL
230,경기,(주)지가스,경기도 김포시 봉수대로1825번길 7 (양촌읍) 구래리 750-28,SK가스
231,경기,㈜디에스 덕평(강릉방향)충전소,경기 이천시 마장면 각평리 319  ,SK
232,경기,㈜디에스 덕평(서창방향)충전소,경기 이천시 마장면 각평리 319-2  ,SK
233,경기,중산엘피지안산충전소,경기 안산시 상록구 안산천서로 6길 24 (월피동)  ,E1
234,경기,만남충전소,경기 연천군 전곡읍 평화로 464  ,GS칼텍스
235,경기,평택금성LPG충전소,경기 평택시 서해로 300 (현덕면)  ,S-OiL
236,경기,용인엘피지충전소,경기 용인시 처인구 양지면 송주로 273번길 3 용인엘피지충전소,E1
237,경기,동백충전소,경기 용인시 기흥구 동백죽전대로 563 (동백동)  ,E1
238,경기,㈜상암에너지,경기 고양시 덕양구 자유로 40 (덕은동)  ,GS칼텍스
239,경기,(주)진모빌리티 위례LPG충전소,경기도 하남시 서하남로 242 (광암동) 경기도하남시광암동223-2,SK가스
240,경기,오산대역충전소,경기도 오산시 경기대로 497 (수청동)  ,E1
241,경기,캐피탈충전소,경기 화성시 향남읍 발안로 448  ,GS칼텍스
242,경기,안산(인천방향),"경기도 안산시 단원구 영동고속도로 15, 안산주유소 인천방향(선부동) 안산주유소 인천방향",SK
243,경기,우리가스충전소,경기 안성시 안성맞춤대로 898 (계동)  ,현대오일뱅크
244,경기,새한가스충전소,경기 광주시 경충대로 1736  ,GS칼텍스
245,경기,동아에너지,경기 평택시 남북대로 545 (동삭동)  ,SK
246,경기,안성(부산)충전소,경기 안성시 섬바위길 96-15 (원곡면)  ,현대오일뱅크
247,경기,고양(문산)충전소,"경기도 고양시 덕양구 수원문산고속도로 51, 고양(문산)휴게소 (성사동) 고양(문산)휴게소",GS칼텍스
248,경기,송산(평택방향)충전,경기 화성시 송산면 평택시흥고속도로 25  ,현대오일뱅크
249,경기,JH 충전소,경기 화성시 팔달면 서해로 962 (팔탄면)  ,SK
250,경기,극동에너비스(주) 신도시충전소,"경기도 김포시 김포한강3로 390, 극동에너비스(주)신도시충전소 (마산동) 극동에너비스(주)신도시충전소","기타(무폴,복수폴)"
251,경기,대일충전소,경기도 파주시 새꽃로 312 (아동동)  ,SK
252,경기,토평고려LPG충전소,경기 구리시 벌말로 8 (토평동)  ,E1
253,경기,선봉대에너지,경기 용인시 처인구 성산로 153 (역북동)  ,SK
254,경기,수정충전소,경기 성남시 수정구 성남대로 1543(복정동)  SK수정충전소,SK가스
255,경기,김포뉴타운충전소,"경기 김포시 양촌읍 김포대로 1579, 가동  ",SK
256,경기,북수원TG충전소,경기 수원시 장안구 경수대로 1184 (파장동)  ,GS칼텍스
257,경기,㈜삼표에너지 삼표충전소,경기 하남시 서하남로 16 (감북동)  ,GS칼텍스
258,경기,㈜삼표에너지 안양충전소,경기 안양시 만안구 시민대로 45 (안양동)  ,GS칼텍스
259,경기,오람충전소,경기 화성시 향남읍 푸른들판로 324-3  ,GS칼텍스
260,경기,올림픽충전소,경기도 김포시 고촌읍 개화동로 236  ,SK가스
261,경기,신북엘피지,경기 포천시 신북면 호국로 2223  ,"기타(무폴,복수폴)"
262,경기,㈜대양충전소,경기 군포시 엘에스로 156 (금정동)  ,GS칼텍스
263,경기,안성에너지,경기 안성시 대덕면 만세로 77-1  ,E1
264,경기,㈜성림에너지 별내충전소,"경기도 남양주시 덕릉로 1123, (별내동) (별내동) (별내동)",SK가스
265,경기,(주)지티이엔알 화성충전소,경기 화성시 포승향남로 1552 (우정읍)  ,S-OiL
266,경기,동백팰리스충전소,경기 용인시 기흥구 동백죽전대로 521 (동백동)  ,SK가스
267,경기,㈜진성에너지 안성맞춤LPG충전소,경기 안성시 안성맞춤대로 1253 (당왕동)  ,GS칼텍스
268,경기,이원엘피지성남충전소,경기 성남시 수정구 성남대로 1327 (태평1동)  ,E1
269,경기,㈜축석충전소,경기 포천시 소흘읍 호국로 68  ,SK
270,경기,화도에너지 화도충전소,경기 남양주시 화도읍 경춘로 2205  ,SK
271,경기,과천엘피지충전소,경기 과천시 중앙로 526 (과천동)  ,E1
272,경기,화성향남LPG충전소,"경기도 화성시 향남읍 향남로 272, 방축리 303-5 방축리 303-5",E1
273,경기,녹박재충전소,경기 안성시 죽산면 660-4  ,"기타(무폴,복수폴)"
274,경기,신갈LPG충전소,경기 용인시 기흥구 용구대로2469번길 51 (보정리)  ,SK
275,경기,송추LPG충전소,경기 양주시 장흥면 호국로 682  ,SK
276,경기,㈜경기태평양충전소 안산지점,경기도 안산시 상록구 가루개로 181 (양상동)  ,SK가스
277,경기,(주)영동가스직영 김포충전소,경기도 김포시 고촌읍 김포대로 597 김포충전소,SK
278,경기,SK 양평충전소,경기 양평군 양평읍 경강로 1683  ,SK가스
279,경기,태리에너지,"경기도 김포시 고촌읍 김포대로 601, LPG충전소 태리에너지",SK
280,경기,이화LPG충전소,경기 안성시 보개면 서동대로 5894  ,현대오일뱅크
281,경기,만호LPG충전소,경기 평택시 포승읍 서동대로 775  ,E1
282,경기,(주)씨티착한에너지,경기도 포천시 부흥로 656 (가산면) 경기도  포전시 가산면  정교리  16-8,현대오일뱅크
283,경기,썬LPG충전소,경기 고양시 덕양구 중앙로 279  ,GS칼텍스
284,경기,㈜허스코 분당GS충전소,경기 성남시 분당구 대왕판교로 359 (궁내동)  ,GS칼텍스
285,경기,일죽LPG충전소,경기 안성시 일죽면 서동대로 7321-11  ,E1
286,경기,능서충전소,경기도 여주시 능서면 중부대로 2171 능서충전소,현대오일뱅크
287,경기,포동가스충전소,경기 시흥시 시흥대로 711 (하중동)  ,SK
288,경기,(주)계동에너지,경기 안성시 안성맞춤대로 857 (계동)  ,SK
289,경기,고려LPG충전소,경기 용인시 처인구 중부대로 1558 (마평동)  ,SK가스
290,경기,대양가스자동차충전소,경기 고양시 덕양구 대덕산로 114 (덕은동)  ,E1
291,경기,칠원동충전소,경기 평택시 남북대로 658 (칠원동)  ,S-OiL
292,경기,광동LPG충전소,경기 하남시 망월동 575-1  ,SK
293,경기,한미석유㈜ 삼미충전소,경기 오산시 경기대로 725 (내삼미동)  ,GS칼텍스
